Unnamed: 0,key1,key2,label,partition_x,pauthor_1,ptitle_1,pyear_1,pid_1,pkey_1,ptype_id_1,pjournal_id_1,pbooktitle_id_1,pjournalfull_id_1,pbooktitlefull_id_1,partition_y,pauthor_2,ptitle_2,pyear_2,pid_2,pkey_2,ptype_id_2,pjournal_id_2,pbooktitle_id_2,pjournalfull_id_2,pbooktitlefull_id_2,partition,title_sim,author_jaccard,year_diff,same_journal,same_booktitle,same_ptype,first_author_match,title_len_diff,shared_title_words,same_year,author_count_1,author_count_2,author_count_diff,title_jaccard
11,conf/mmb/SassJ06,conf/kivs/Sass03,True,8,detlef sass|sascha junghans,i2mp - an architecture for hardware-supported high-precision traffic measurement.,2006,591877,conf/mmb/SassJ06,1,0,10,0,10,4,detlef saß,fluid-flow-ansätze zur analytischen untersuchung eines fair queueing bediensystems.,2003,561979,conf/kivs/Sass03,1,0,1619,0,1619,3,0.0,0.0,3,1,0,1,0,2,0,0,2,1,1,0.0
12,journals/tog/HullinHASKL10,journals/tim/NgamwongwattanaT10,False,8,matthias b. hullin|johannes hanika|boris ajdin|hans-peter seidel|jan kautz|hendrik p. a. lensch,acquisition and analysis of bispectral bidirectional reflectance and reradiation distribution functions.,2010,2273673,journals/tog/HullinHASKL10,3,3,5,3,5,2,b. ngamwongwattana|r. thompson,sync & sense: voip measurement methodology for assessing one-way delay without clock synchronization.,2010,2420421,journals/tim/NgamwongwattanaT10,3,301,5,301,5,1,0.0,0.0,0,0,1,1,0,3,0,1,6,2,4,0.0
13,conf/nems/RaoLW09,conf/cars/FuJDCWLGLZDMLHPGCLWCX03,True,3,fubo rao|tie li|yuelin wang,synthesis of horizontally aligned single-walled carbon nanotubes without external force and their growth characteristics.,2009,910614,conf/nems/RaoLW09,1,0,5,0,5,2,haihong fu|zhengyu jin|jianping dai|kemin chen|tao wang|tie li|peiyi gao|kuncheng li|cheng zhou|xiangke du|jingtao miao|baoluo li|yusheng he|minchen peng|qiyong guo|chunhua chai|min luo|xiaolin wang|jinxiong chen|ji xie,"picture archiving and communication system in china: the development, problem, and integrating strategy with ihe.",2003,89400,conf/cars/FuJDCWLGLZDMLHPGCLWCX03,1,0,5,0,5,1,0.0,0.045454545454545456,6,1,1,1,0,8,1,0,3,20,17,0.037037037037037035
14,journals/adt/PanagopoulosK03,conf/pricai/Golinska-PilarekMM08,False,6,athanasios d. panagopoulos|john d. kanellopoulos,letter to the editor: differential rain attenuation statistics on two converging point-to-point terrestrial links located in a tropical climatic region.,2003,1816128,journals/adt/PanagopoulosK03,1,4,5,4,0,3,joanna golinska-pilarek|angel mora|emilio muñoz-velasco,"an atp of a relational proof system for order of magnitude reasoning with negligibility, non-closeness and distance.",2008,646446,conf/pricai/Golinska-PilarekMM08,1,0,5,0,0,1,0.0,0.0,5,0,1,1,0,36,1,0,2,3,1,0.02857142857142857
15,conf/srds/KazemzadehJ09,conf/delfi/XiaoJ03,False,5,reza sherafat kazemzadeh|hans-arno jacobsen,reliable and highly available distributed publish/subscribe service.,2009,724572,conf/srds/KazemzadehJ09,1,0,5,0,5,2,bo xiao|friedricke jödick,the shared multimedia notebook: a java tool for cooperation in learning environments.,2003,174845,conf/delfi/XiaoJ03,1,0,5,0,5,2,0.0,0.0,6,1,1,1,0,17,0,0,2,2,0,0.0
16,conf/pricai/BeaumontTSM04,journals/memetic/SattarS10,False,2,matthew beaumont|john thornton|abdul sattar|michael j. maher,solving over-constrained temporal reasoning problems using local search.,2004,645750,conf/pricai/BeaumontTSM04,1,0,3,0,3,2,abdul sattar 0003|renaud séguier,hmoam: hybrid multi-objective genetic optimization for facial analysis by appearance model.,2010,2381464,journals/memetic/SattarS10,3,397,5,397,5,3,0.0,0.0,6,0,0,0,0,19,0,0,4,2,2,0.0
17,conf/srds/KazemzadehJ09,conf/cbms/KazemzadehS06,True,8,reza sherafat kazemzadeh|hans-arno jacobsen,reliable and highly available distributed publish/subscribe service.,2009,724572,conf/srds/KazemzadehJ09,1,0,5,0,5,2,reza sherafat kazemzadeh|kamran sartipi,incoporating data mining applications into clinical guildelines.,2006,94145,conf/cbms/KazemzadehS06,1,0,199,0,199,4,0.0,0.3333333333333333,3,1,0,1,1,4,0,0,2,2,0,0.0
18,conf/icdcsw/Pardo-Castellote03,conf/rtas/SchneiderCP95,True,6,gerardo pardo-castellote,omg data-distribution service: architectural overview.,2003,349720,conf/icdcsw/Pardo-Castellote03,1,0,11,0,11,1,stanley a. schneider|vincent w. chen|gerardo pardo-castellote,controlshell: component-based real-time programming.,1995,660321,conf/rtas/SchneiderCP95,1,0,2163,0,2163,2,0.0,0.3333333333333333,8,1,0,1,0,2,0,0,1,3,2,0.0
19,journals/corr/abs-0911-4329,conf/asiasim/KimC04,False,2,ki-hoon lee|kyu-young whang|wook-shin han|min-soo kim 0002,structural consistency: enabling xml keyword search to eliminate spurious results consistently,2009,1922328,journals/corr/abs-0911-4329,3,5,5,5,5,1,min-soo kim 0003|chan-soo chung,the robust flight control of an uav using mimo qft: ga-based automatic loop-shaping method.,2004,60254,conf/asiasim/KimC04,1,0,486,0,486,3,0.0,0.0,5,0,0,0,0,3,0,0,4,2,2,0.0
20,conf/cdc/LiuHT09,journals/nar/JayapandianCTYEILNSAASJ07,False,5,bin liu|david j. hill|kok lay teo,input-to-state stability for a class of hybrid dynamical systems via hybrid time approach.,2009,883711,conf/cdc/LiuHT09,1,0,5,0,5,1,magesh jayapandian|adriane chapman|v. glenn tarcea|cong yu|aaron elkiss|angela ianni|bin liu 0002|arnab nandi|carlos santos|philip andrews|brian d. athey|david j. states|h. v. jagadish,michigan molecular interactions (mimi): putting the jigsaw puzzle together.,2007,2159508,journals/nar/JayapandianCTYEILNSAASJ07,3,45,5,45,5,1,0.0,0.0,2,0,1,0,0,15,0,0,3,13,10,0.0
21,conf/vlsid/HazariDK07,conf/evoW/JuhosH08,False,1,gautam hazari|madhav p. desai|h. kasture,on the impact of address space assignment on performance in systems-on-chip.,2007,756288,conf/vlsid/HazariDK07,1,0,1,0,1,4,istván juhos|jano i. van hemert,graph colouring heuristics guided by higher order graph properties.,2008,233330,conf/evoW/JuhosH08,1,0,2164,0,2164,2,0.0,0.0,1,1,0,1,0,9,0,0,3,2,1,0.0
23,conf/cec/LinHZ08,conf/dawak/CarageaZPH06,False,6,ying lin|jian huang|jun zhang,new evaluation criteria for the convergence of continuous evolutionary algorithms.,2008,821024,conf/cec/LinHZ08,1,0,12,0,12,4,doina caragea|jun zhang 0002|jyotishman pathak|vasant honavar,"learning classifiers from distributed, ontology-extended data sources.",2006,170015,conf/dawak/CarageaZPH06,1,0,539,0,539,3,0.0,0.0,2,1,0,1,0,12,0,0,3,4,1,0.0
25,conf/icse/FerrariBLGFCLTSSRMBM10,conf/ictai/AraujoOS09,True,1,fabiano cutigi ferrari|rachel burrows|otávio augusto lazzarini lemos|alessandro garcia|eduardo figueiredo|nélio cacho|frederico lopes|nathalia temudo|liana silva|sérgio soares|awais rashid|paulo cesar masiero|thaís vasconcelos batista|josé carlos maldonado,an exploratory study of fault-proneness in evolving aspect-oriented programs.,2010,429435,conf/icse/FerrariBLGFCLTSSRMBM10,1,0,5,0,5,2,ricardo de a. araújo|adriano l. i. de oliveira|sérgio c. b. soares,a morphological-rank-linear approach for software development cost estimation.,2009,434543,conf/ictai/AraujoOS09,1,0,5,0,5,2,0.0,0.0,1,1,1,1,0,1,0,0,14,3,11,0.0
27,conf/mfcs/BoerRH99,journals/scp/Roever10,True,3,frank s. de boer|willem p. de roever|ulrich hannemann,the semantic foundations of a compositional proof method for synchronously communicating processes.,1999,578457,conf/mfcs/BoerRH99,4,0,5,0,5,4,"remembering amir pnueli, a great scientist and a great friend (april 22, 1941-november 2, 2009).",willem-paul de roever,2010,2201541,journals/scp/Roever10,1,584,5,584,5,4,0.0,0.0,11,0,1,0,0,78,0,0,3,1,2,0.0
28,conf/icic/LeeKKK06,journals/jcc/MitinBWP03,False,7,sang-heon lee|nam-sung kim|heau-jo kang|soon-gohn kim,performance improvement of intelligent uwb-ir communication system in multipath channel.,2006,366780,conf/icic/LeeKKK06,3,0,5,0,0,1,alexander v. mitin|jon baker|krzysztof wolinski|peter pulay,parallel stored-integral and semidirect hartree-fock and dft methods with data compression.,2003,2091801,journals/jcc/MitinBWP03,3,7,5,7,0,1,0.0,0.0,3,0,1,1,0,3,0,0,4,4,0,0.0
29,journals/jcc/DiazAVRDSUP07,journals/bioinformatics/DiazAR03,True,4,humberto gonzález díaz|guillermín agüero-chapín|javier varona|reinaldo molina ruiz|giovanna delogu|lourdes santana|eugenio uriarte|gianni podda,2d-rna-coupling numbers: a new computational chemistry approach to link secondary structure topology with biological function.,2007,2092932,journals/jcc/DiazAVRDSUP07,3,7,5,7,5,3,humberto gonzález díaz|ronal ramos de armas|reinaldo molina ruiz,markovian negentropies in bioinformatics. 1. a picture of footprints after the interaction of the hiv-1 -rna packaging region with drugs.,2003,1841185,journals/bioinformatics/DiazAR03,3,61,5,61,5,2,0.08608829904963768,0.2222222222222222,4,0,1,1,1,11,2,0,8,3,5,0.06451612903225806
31,conf/jurix/LaarschotSSLH05,journals/mansci/DeSarboBJS06,False,3,ronny van laarschot|wouter van steenbergen|heiner stuckenschmidt|arno r. lodder|frank van harmelen,the legal concepts and the layman's terms - bridging the gap through ontology-based reasoning about liability.,2005,870329,conf/jurix/LaarschotSSLH05,1,0,5,0,5,3,wayne s. desarbo|c. anthony di benedetto|kamel jedidi|michael song,identifying sources of heterogeneity for empirically deriving strategic types: a constrained finite-mixture structural-equation methodology.,2006,2403751,journals/mansci/DeSarboBJS06,1,141,5,141,5,4,0.0,0.0,1,0,1,1,0,30,0,0,5,4,1,0.0
32,journals/wi/HeinrichBHKL08,conf/glvlsi/TanakaYK04,False,5,bernd heinrich|marc-andre bewernik|matthias henneberger|alexander krammer|florian lautenbacher,sempa - ein ansatz des semantischen prozessmanagements zur planung von prozessmodellen.,2008,2296545,journals/wi/HeinrichBHKL08,1,8,5,8,5,4,katsunori tanaka|shigeru yamashita|yahiko kambayashi,spfd-based effective one-to-many rewiring (omr) for delay reduction of lut-based fpga circuits.,2004,274573,conf/glvlsi/TanakaYK04,1,0,1723,0,1723,4,0.0,0.0,4,0,0,1,0,8,0,0,5,3,2,0.0
33,conf/icns/Capo-ChichiGF09,conf/aina/AdamBP10,False,3,eugene pamba capo-chichi|hervé guyennet|jean-michel friedt,ieee 802.15.4 performance on a hierarchical hybrid sensor network platform.,2009,794722,conf/icns/Capo-ChichiGF09,1,0,15,0,15,1,george adam|christos bouras|vassilis poulopoulos,image extraction from online text streams: a straightforward template independent approach without training.,2010,43143,conf/aina/AdamBP10,1,0,1388,0,1388,4,0.0,0.0,1,1,0,1,0,33,1,0,3,3,0,0.045454545454545456
34,conf/seal/ZhangZH08,conf/icml/ZhangH03,False,7,jun zhang|jinghui zhong|xiaomin hu,a novel genetic algorithm with orthogonal prediction for global numerical optimization.,2008,679065,conf/seal/ZhangZH08,4,0,16,0,16,4,jun zhang 0002|vasant honavar,learning from attribute value taxonomies and partially specified instances.,2003,393897,conf/icml/ZhangH03,4,0,1005,0,1005,2,0.0,0.0,5,1,0,1,0,12,0,0,3,2,1,0.0
35,conf/iat/Silaghi06,conf/aaai/MatsuiMSHY08,True,5,marius-calin silaghi,framework for modeling reordering heuristics for asynchronous backtracking.,2006,306181,conf/iat/Silaghi06,1,0,17,0,17,4,toshihiro matsui|hiroshi matsuo|marius silaghi|katsutoshi hirayama|makoto yokoo,resource constrained distributed constraint optimization with virtual variables.,2008,18742,conf/aaai/MatsuiMSHY08,1,0,115,0,115,4,0.0,0.0,2,1,0,1,0,5,0,0,1,5,4,0.0
37,conf/iscas/WadaNU99,conf/cases/HuynhSM07,False,7,m. wada|yoshifumi nishio|akio ushida,chaotic itinerancy phenomena on coupled n-double scrolls chaotic circuits.,1999,501394,conf/iscas/WadaNU99,1,0,5,0,5,3,huynh phung huynh|joon edward sim|tulika mitra,an efficient framework for dynamic reconfiguration of instruction-set customization.,2007,91242,conf/cases/HuynhSM07,1,0,5,0,5,4,0.0,0.0,8,1,1,1,0,10,0,0,3,3,0,0.0
38,conf/csb/DamSOX04,journals/bioinformatics/WangX03,False,2,phuongan dam|zhengchang su|victor olman|ying xu,in silico construction of the carbon fixation pathway in synechococcus sp. wh8102.,2004,142068,conf/csb/DamSOX04,3,0,5,0,0,3,lusheng wang|ying xu 0002,segid: identifying interesting segments in (multiple) sequence alignments.,2003,1844111,journals/bioinformatics/WangX03,3,61,5,61,0,1,0.0,0.0,1,0,1,1,0,8,1,0,4,2,2,0.05555555555555555
39,journals/jche/WangH09,journals/ijsnet/WangXTD07,False,4,feng wang|michael j. hannafin,scaffolding preservice teachers' webquest design: a qualitative study.,2009,2339884,journals/jche/WangH09,3,10,5,10,5,1,feng wang 0002|kuai xu|my t. thai|ding-zhu du,fault tolerant topology control for one-to-all communications in symmetric wireless networks.,2007,2344833,journals/ijsnet/WangXTD07,3,590,5,590,5,3,0.0,0.0,2,0,1,1,0,23,0,0,2,4,2,0.0
41,conf/semweb/BrochelerPS09,conf/patmos/PuglieseCC06,False,2,matthias bröcheler|andrea pugliese|v. s. subrahmanian,dogma: a disk-oriented graph matching algorithm for rdf databases.,2009,684295,conf/semweb/BrochelerPS09,1,0,18,0,18,1,andrea pugliese 0002|gregorio cappuccino|giuseppe cocorullo,a simple mosfet parasitic capacitance model and its application to repeater insertion technique.,2006,622003,conf/patmos/PuglieseCC06,1,0,18,0,18,2,0.0,0.0,3,1,1,1,0,30,1,0,3,3,0,0.047619047619047616
45,conf/aspdac/WangWX08,conf/globecom/WangFG07,False,5,feng wang 0004|xiaoxia wu|yuan xie,variability-driven module selection with joint design time optimization and post-silicon tuning.,2008,62300,conf/aspdac/WangWX08,1,0,21,0,21,2,feng wang|nick feamster|lixin gao,measuring the contributions of routing dynamics to prolonged end-to-end internet path failures.,2007,830924,conf/globecom/WangFG07,1,0,180,0,180,3,0.0,0.0,1,1,0,1,0,1,0,0,3,3,0,0.0
46,journals/tcs/RaoS01,conf/icdim/SattarS10,False,2,m. r. k. krishna rao|abdul sattar,polynomial-time learnability of logic programs with local variables from entailment.,2001,2243530,journals/tcs/RaoS01,3,12,5,12,5,3,abdul sattar 0003|renaud séguier,facial feature extraction using hybrid genetic-simplex optimization in multi-objective active appearance model.,2010,834651,conf/icdim/SattarS10,3,0,804,0,804,4,0.0,0.0,9,0,0,1,0,27,0,0,2,2,0,0.0
47,journals/tvlsi/MoonASDB03,conf/glvlsi/BhattiDD06,True,4,joong-seok moon|william c. athas|sigfrid d. soli|jeffrey t. draper|peter a. beerel,voltage-pulse driven harmonic resonant rail drivers for low-power applications.,2003,2291132,journals/tvlsi/MoonASDB03,3,13,5,13,5,4,rashed zafar bhatti|monty denneau|jeff draper,2 gbps serdes design based on ibm cu-11 (130nm) standard cell technology.,2006,273949,conf/glvlsi/BhattiDD06,1,0,1723,0,1723,2,0.0,0.0,3,0,0,0,0,6,0,0,5,3,2,0.0
48,journals/ijaci/MontoroHA10,conf/ecai/AlamanAPZ92,True,7,germán montoro|pablo a. haya|xavier alamán,a dynamic spoken dialogue interface for ambient intelligence interaction.,2010,2407004,journals/ijaci/MontoroHA10,3,14,5,14,5,1,xavier alamán roldán|idoia alarcón|erik de pablo|jose luis zaccagnini,the maquette-based methodology applied to real-time knowledge-based systems.,1992,193327,conf/ecai/AlamanAPZ92,3,0,589,0,589,4,0.0,0.0,18,0,0,1,0,3,0,0,3,4,1,0.0
49,conf/appinf/JimenezSCRC94,conf/nips/Serrano-GotarredonaOLLPGRDLZWDHJCSAL05,True,8,gabriel jiménez|josé luis sevillano|antón civit|fernando díaz del río|antón civit-breu,applications to embedded controllers: a general study of bus elimination.,1994,53933,conf/appinf/JimenezSCRC94,1,0,22,0,22,4,rafael serrano-gotarredona|matthias oster|patrick lichtsteiner|alejandro linares-barranco|rafael paz-vicente|francisco gomez-rodriguez|håvard kolle riis|tobi delbrück|shih-chii liu|s. zahnd|adrian m. whatley|rodney j. douglas|philipp häfliger|gabriel jiménez-moreno|antón civit|teresa serrano-gotarredona|antonio acosta-jimenez|bernabé linares-barranco,aer building blocks for multi-layer multi-chip neuromorphic vision systems.,2005,606278,conf/nips/Serrano-GotarredonaOLLPGRDLZWDHJCSAL05,1,0,769,0,769,2,0.0,0.045454545454545456,11,1,0,1,0,2,0,0,5,18,13,0.0
50,conf/ifip5-5/ShamsuzzohaKHCAF10,journals/ijitm/HilmolaH06,True,3,ahm shamsuzzoha|timo kankaanpaa|petri helo|luis maia carneiro|ricardo almeida|rosanna fornasiero,non-hierarchical collaboration in dynamic business communities.,2010,450424,conf/ifip5-5/ShamsuzzohaKHCAF10,3,0,23,0,23,2,olli-pekka hilmola|petri t. helo,productivity of software projects: a case analysis.,2006,2346012,journals/ijitm/HilmolaH06,3,0,5,0,5,3,0.0,0.0,4,1,0,1,0,12,0,0,6,2,4,0.0
51,conf/islped/NeveFSLH02,conf/pvm/0002KKKL07,False,1,amaury nève|denis flandre|helmut schettler|thomas ludwig 0004|gerhard hellner,design of a branch-based 64-bit carry-select adder in 0.18 µm partially depleted soi cmos.,2002,512633,conf/islped/NeveFSLH02,1,0,5,0,5,4,thomas ludwig 0002|stephan krempel|michael kuhn 0003|julian m. kunkel|christian lohse,analysis of the mpi-io optimization levels with the pioviz jumpshot enhancement.,2007,651410,conf/pvm/0002KKKL07,1,0,5,0,5,4,0.0,0.0,5,1,1,1,0,10,1,0,5,5,0,0.043478260869565216
52,journals/tsp/MaranoMW08,journals/jcisd/HollidaySWW03,False,4,stefano maranò|vincenzo matta|peter willett,distributed estimation in large wireless sensor networks via a locally optimum approach.,2008,2350269,journals/tsp/MaranoMW08,3,15,5,15,5,1,john d. holliday|naomie salim|martin whittle|peter willett 0002,analysis and display of the size dependence of chemical similarity coefficients.,2003,2095407,journals/jcisd/HollidaySWW03,3,26,5,26,5,2,0.0,0.0,5,0,1,1,0,8,0,0,3,4,1,0.0
53,conf/apweb/ByunLL06,journals/tc/CheonL06,False,2,jin wook byun|dong hoon lee|jongin lim,efficient and provably secure client-to-client password-based key exchange protocol.,2006,56109,conf/apweb/ByunLL06,1,0,24,0,24,3,jung hee cheon|dong hoon lee 0002,use of sparse and/or complex exponents in batch verification of exponentiations.,2006,2226749,journals/tc/CheonL06,3,103,5,103,5,3,0.0,0.0,0,0,0,0,0,4,0,1,3,2,1,0.0
54,journals/jat/Nielsen07,journals/bioinformatics/ZhangLN09,True,8,morten nielsen,"an example of an almost greedy uniformly bounded orthonormal basis for lp(0, 1).",2007,2085892,journals/jat/Nielsen07,3,16,5,16,0,2,hao zhang|claus lundegaard|morten nielsen,pan-specific mhc class i predictors: a benchmark of hla class i pan-specific prediction methods.,2009,1846098,journals/bioinformatics/ZhangLN09,3,61,5,61,0,4,0.0,0.3333333333333333,2,0,1,1,0,16,1,0,1,3,2,0.045454545454545456
55,conf/fskd/FengYZD05,journals/ton/StoicaSZ03,False,4,zhilin feng|jianwei yin|hui zhang 0004|jinxiang dong,a phase-field based segmentation algorithm for jacquard images using multi-start fuzzy optimization strategy.,2005,253580,conf/fskd/FengYZD05,1,0,5,0,5,4,ion stoica|scott shenker|hui zhang,core-stateless fair queueing: a scalable architecture to approximate fair bandwidth allocations in high-speed networks.,2003,2277057,journals/ton/StoicaSZ03,3,0,5,0,5,1,0.0,0.0,2,1,1,0,0,10,1,0,4,3,1,0.04
56,journals/ieicet/GeLN05,conf/adg/TuloneYL00,False,2,qi-wei ge|chen li 0007|mitsuru nakata,performance evaluation of a two-processor scheduling method for acyclic switch-less program nets.,2005,2009684,journals/ieicet/GeLN05,3,0,5,0,5,4,daniela tulone|chee-keng yap|chen li 0003,randomized zero testing of radical expressions and elementary geometry theorem proving.,2000,31135,conf/adg/TuloneYL00,1,0,238,0,238,3,0.0,0.0,5,1,0,0,0,10,1,0,3,3,0,0.045454545454545456
57,conf/sac/ChenJH06,conf/islped/ChenH97,False,6,kai chen|fan jiang|chuan-dong huang,a new method of generating synchronizable test sequences that detect output-shifting faults based on multiple uio sequences.,2006,663600,conf/sac/ChenJH06,4,0,25,0,25,3,kai chen 0002|chenming hu,device and technology optimizations for low power design in deep sub-micron regime.,1997,512098,conf/islped/ChenH97,4,0,25,0,25,2,0.0,0.0,9,1,1,1,0,41,0,0,3,2,1,0.0
58,conf/cikm/ChenLQZ09,conf/fskd/CaoYZQY09,True,6,shuo chen|bin liu|mingjie qian|changshui zhang,instance- and bag-level manifold regularization for aggregate outputs classification.,2009,113290,conf/cikm/ChenLQZ09,1,0,26,0,26,2,yingui cao|chun yuan|wei zhou|mingjie qian|tao yuan,analyses on changes of land use in three gorges based on quantitative research.,2009,255379,conf/fskd/CaoYZQY09,1,0,26,0,26,4,0.0,0.125,0,1,1,1,0,6,0,1,4,5,1,0.0
60,journals/ml/MeirM95,conf/nips/BartlettMM98,True,4,ronny meir|neri merhav,on the stochastic complexity of learning realizable and unrealizable rules.,1995,2146600,journals/ml/MeirM95,3,18,5,18,5,2,peter l. bartlett|vitaly maiorov|ron meir,almost linear vc dimension bounds for piecewise polynomial networks.,1998,604178,conf/nips/BartlettMM98,1,0,769,0,769,1,0.0,0.0,3,0,0,0,0,7,0,0,2,3,1,0.0
61,conf/pg/LiangBZ02,conf/atal/KarankeK10,False,6,youdong liang|hujun bao|weihua zhou,a morphing with geometric continuity between two arbitrary planar polygons.,2002,632975,conf/pg/LiangBZ02,1,0,5,0,5,3,paul karänke|stefan kirn,towards model checking & simulation of a multi-tier negotiation protocol for service chains.,2010,67525,conf/atal/KarankeK10,1,0,5,0,5,4,0.0,0.0,8,1,1,1,0,17,1,0,3,2,1,0.045454545454545456
