pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
somna mishra|v. k. katiyar|v. arora,,mathematical modeling of chemotherapy strategies in vascular tumor growth using nanoparticles.,2007,,,,2306172,journals/amc/MishraKA07,1,27,5,27,5,1
stefano brugioni|dong uk hwang|riccardo meucci|stefano boccaletti,,coherence resonance in a fitzhugh-nagumo electronic system.,2007,,,,2382759,journals/ijbc/BrugioniHMB07,3,31,5,31,0,1
yongxin zhu|weng-fai wong|stefan andrei,,an integrated performance and power model for superscalar processor designs.,2005,,,,61998,conf/aspdac/ZhuWA05,1,0,21,0,21,1
pallavi tadepalli|h. conrad cunningham,,javachime: java class hierarchy inspector and method executer.,2004,,,,7300,conf/ACMse/TadepalliC04,1,0,41,0,41,1
sheraz naseer|muhammad younus|attiq ahmed,,vulnerabilities exposing ieee 802.16e networks to dos attacks: a survey.,2008,,,,714460,conf/snpd/NaseerYA08,1,0,42,0,42,1
yoav nebat|moshe sidi,,parallel downloads for streaming applications - a resequencing analysis.,2006,,,,2178312,journals/pe/NebatS06,3,35,5,35,5,1
danny hughes|james walkerdine|kevin lee,,the effect of viral media on business usage of p2p.,2007,,,,616200,conf/p2p/HughesWL07,1,0,50,0,50,1
matthias fuchs|christoph borst|paolo robuffo giordano|andreas baumann|erich krämer|jörg langwald|robin gruber|nikolaus seitz|georg plank|klaus kunze|robert burger|florian schmidt|thomas wimböck|gerd hirzinger,,rollin' justin - design considerations and realization of a mobile platform for a humanoid upper body.,2009,,,,423660,conf/icra/FuchsBGBKLGSPKBSWH09,1,0,5,0,5,1
jiqiang lv,,on two des implementations secure against differential power analysis in smart-cards.,2006,,,,2001624,journals/iandc/Lv06,3,37,5,37,5,1
yanbing li|wayne wolf,,hardware/software co-synthesis with memory hierarchies.,1998,,,,331837,conf/iccad/LiW98,1,0,55,0,55,1
p. f. lai|j. h. fang|f. tsay,,waveform correlation using relational tree (abstract).,1986,,,,26127,conf/acm/LaiFT86,1,0,56,0,56,1
gordon graham|ivelina gueorguieva|kelly dickens,,"a program for the optimum design of pharmacokinetic, pharmacodynamic, drug metabolism and drug-drug interaction models.",2005,,,,2333065,journals/cmpb/GrahamGD05,3,41,5,41,0,1
jens müller,,supporting change in business process models using pattern-based constraints.,2009,,,,88387,conf/caise/Muller09,1,0,64,0,64,1
franz j. winkler|boris lohmann,,flachheitsbasierte steuerung und beobachtung von transportprozessen mit verteiltem eingriff (flatness-based control and observer design for transport processes with distributed control).,2009,,,,2402203,journals/at/WinklerL09,1,43,5,43,5,1
mohd. zeeshan ansari|gitanjali yadav|rajesh s. gokhale|debasisa mohanty,,nrps-pks: a knowledge-based resource for analysis of nrps/pks megasynthases.,2004,,,,2156238,journals/nar/AnsariYGM04,3,45,5,45,0,1
roberto sacile|ernesto montaldo|massimo paolucci 0002|antonio boccalatte,,intelligent agents applied to manufacturing: the make-it approach.,2000,,,,778642,conf/woa/SacileMPB00,4,0,69,0,69,1
alex aussem,,sufficient conditions for error backflow convergence in dynamical recurrent neural networks.,2002,,,,2161801,journals/neco/Aussem02,3,0,5,0,5,1
yu long|zhenfu cao|kefei chen,,a dynamic threshold commercial key escrow scheme based on conic.,2005,,,,2304288,journals/amc/LongCC05,3,27,5,27,5,1
zhi-zhong chen|yong gao|guohui lin|robert niewiadomski|yang wang 0006|junfeng wu,,a space-efficient algorithm for sequence alignment with inversions and reversals.,2004,,,,2239416,journals/tcs/ChenGLNWW04,1,12,78,12,78,1
lusheng chen|wei wang 0004|shaoping ling|caiyan jia|fei wang,,kemadom: a web server for domain prediction using kernel machine with local context.,2006,,,,2159272,journals/nar/ChenWLJW06,1,45,5,45,0,1
jae-young kim|james won-ki hong,,monitoring edge-to-edge traffic aggregates in differentiated services networks.,2001,,,,2117362,journals/jnsm/KimH01,1,51,5,51,5,1
matthew s. eastin|robert larose,,internet self-efficacy and the psychology of the digital divide.,2000,,,,2097875,journals/jcmc/EastinL00,3,55,5,55,5,1
abdelhamid mellouk|mustapha guezouri,,a new methodology to adapt sip protocol for voice traffic transported over ip network.,2006,,,,38211,conf/aict/MelloukG06,1,0,92,0,92,1
ming-yang kao|tak wah lam|wing-kin sung|hing-fung ting,,unbalanced and hierarchical bipartite matchings with applications to labeled tree comparison.,2000,,,,489355,conf/isaac/KaoLST00,1,0,93,0,93,1
rubén cuevas rumín|eva jaho|carmen guerrero|ioannis stavrakakis,,onmove: a protocol for content distribution in wireless delay tolerant networks based on social information.,2008,,,,844018,conf/conext/RuminJGS08,1,0,94,0,94,1
andreas birk,,tutorium: effektives testmanagement - vom notwendigen übel zum erfolgsfaktor für it und geschäftserfolg.,2008,,,,774779,conf/wimaw/Birk08a,1,0,95,0,95,1
gaspar s. dias|josé luís oliveira|javier vicente|fernando martín-sánchez,,integrating medical and genomic data: a sucessful example for rare diseases.,2006,,,,886649,conf/mie/DiasOVM06,1,0,98,0,98,1
daniel schmidt 0004|martin proetzsch|karsten berns,,simulation and control of an autonomous bucket excavator for landscaping tasks.,2010,,,,424231,conf/icra/SchmidtPB10,1,0,102,0,102,1
s. chandra|abha,,a note on pseudo-invexity and duality in nonlinear programming.,2000,,,,2332010,journals/eor/ChandraA00a,3,63,5,63,5,1
cláudia m. f. a. ribeiro|nelson s. rosa|paulo roberto freire cunha,,towards a model for personalized communication services based on user perception.,2004,,,,359015,conf/iceis/RibeiroRC04,1,0,107,0,107,1
congwu chen|lei li|jun wei,,aop based trustable sla compliance monitoring for web services.,2007,,,,652549,conf/qsic/ChenLW07,1,0,109,0,109,1
bilge saglam akgul|vincent john mooney iii,,system-on-a-chip processor synchronization support in hardware.,2001,,,,166440,conf/date/AkgulM01,4,0,111,0,111,1
nobutaka suzuki|minoru ito|jun okui,,on the possibility of path expressions containing backward navigations in object-oriented databases.,1999,,,,2200048,journals/scjapan/SuzukiIO99,3,0,5,0,5,1
hua-qing min|jia-an zeng|jian chen|jin-hui zhu,,a study of reinforcement learning in a new multiagent domain.,2008,,,,306609,conf/iat/MinZCZ08,3,0,5,0,0,1
christian glasser|heinz schmitz|victor l. selivanov,,efficient algorithms for membership in boolean hierarchies of regular languages,2008,,,,1915136,journals/corr/abs-0802-2868,3,5,5,5,0,1
bin zhou|mohammed atiquzzaman,,performance of output-multibuffered multistage interconnection networks.,1994,,,,574520,conf/mascots/ZhouA94,1,0,118,0,118,1
yuanping zhu|jun sun 0004|akihiro minagawa|yoshinobu hotta|satoshi naoi,,separate chinese character and english character by cascade classifier and feature selection.,2009,,,,346841,conf/icdar/ZhuSMHN09,1,0,124,0,124,1
andrea suardi|antonio manenti|andrea abba|angelo geraci,,high-efficiency fpga fully-based implementation of the conjugate gradient method.,2009,,,,217348,conf/ersa/SuardiMAG09,1,0,128,0,128,1
danmei chen|sheng li|zoe kourtzi|si wu,,behavior-constrained support vector machines for fmri data analysis.,2010,,,,2349218,journals/tnn/ChenLKW10,3,0,5,0,5,1
chingwei yeh|lung-tien liu|chung-kuan cheng|t. c. hu|s. ahmed|m. liddel,,block-oriented programmable design with switching network interconnect.,1994,,,,2290521,journals/tvlsi/YehLCHAL94,1,13,5,13,5,1
nicolas villar|albrecht schmidt|gerd kortuem|hans-werner gellersen,,interacting with proactive public displays.,2003,,,,1870295,journals/cg/VillarSKG03,3,70,139,70,139,1
feng wang 0004|yuan xie|narayanan vijaykrishnan|mary jane irwin,,on-chip bus thermal analysis and optimization.,2006,,,,168313,conf/date/WangXVI06,6,0,111,0,111,1
riccardo rovatti|sergio callegari|gianluca setti,,on the correlation of non-jittered and chaotically-jittered pwm signals carrying maximum information.,2002,,,,502128,conf/iscas/RovattiCS02,1,0,143,0,143,1
jordan berg|amy r. greenwald|victor naroditskiy|eric sodomka,,a knapsack-based approach to bidding in ad auctions.,2010,,,,195687,conf/ecai/BergGNS10,1,0,144,0,144,1
shih-wei chou|yu-chieh chang,,the implementation factors that influence the erp (enterprise resource planning) benefits.,2008,,,,1961224,journals/dss/ChouC08,3,72,5,72,5,1
salwani abdullah|hamza turabieh|barry mccollum|paul mcmullan,,a multi-objective post enrolment course timetabling problems: a new case study.,2010,,,,822127,conf/cec/AbdullahTMM10,1,0,152,0,152,1
jeen-shing wang|yu-liang hsu|hung-yi lin|yen-ping chen,,minimal model dimension/order determination algorithms for recurrent neural networks.,2009,,,,2189304,journals/prl/WangHLC09,3,75,5,75,5,1
márjory cristiany da costa abreu|michael c. fairhurst,,improving identity prediction in signature-based unimodal systems using soft biometrics.,2009,,,,137763,conf/cost/AbreuF09,1,0,156,0,156,1
pentti huttunen|jouni ikonen|jari porras,,mpit - a programming paradigm for networks of smp workstations.,2002,,,,220689,conf/esm/HuttungenIP02,1,0,5,0,5,1
wei li 0004|xiaohu huang|nanning zheng,,parallel implementing opengl on pvm.,1997,,,,2176123,journals/pc/LiHZ97,1,77,5,77,0,1
stefano maranò|vincenzo matta|peter willett|lang tong,,support-based and ml approaches to doa estimation in a dumb sensor network.,2006,,,,2350408,journals/tsp/MaranoMWT06,3,15,5,15,5,1
jean-françois pessiot|young-min kim|massih-reza amini|patrick gallinari,,improving document clustering in a learned concept space.,2010,,,,2061371,journals/ipm/PessiotKAG10,3,79,5,79,5,1
lin gao|xinbing wang|youyun xu,,multiradio channel allocation in multihop wireless networks.,2009,,,,2267400,journals/tmc/GaoWX09,3,80,5,80,5,1
martin müller|joachim niehren|andreas podelski,,inclusion constraints over non-empty sets of trees.,1997,,,,734862,conf/tapsoft/MullerNP97,1,0,167,0,167,1
debora gil|petia radeva ivanova,,a regularized curvature flow designed for a selective shape restoration.,2004,,,,2251509,journals/tip/GilI04,3,25,5,25,0,1
r. i. phelfs|l. c. thomas,,on optimal performance in self-organizing paging algorithms.,1981,,,,1814536,journals/actaC/PhelfsT81,3,85,5,85,0,1
rainer oechsle|ralph weires|sebastian lang,,antsim: eine simulationsumgebung zur visualisierung emergenter phänomene am beispiel von ameisenkolonien auf futtersuche.,2004,,,,707459,conf/simvis/OechsleWL04,1,0,169,0,169,1
xiaoli wang|daqing gu|tao shu,,adaptive application-specific cooperative relay for wireless video sensor networks.,2007,,,,850276,conf/fgcn/WangGS07,1,0,171,0,171,1
m. bagavandas|g. manimannan,,style consistency and authorship attribution: a statistical investigation.,2008,,,,2123214,journals/jql/BagavandasM08,1,92,175,92,175,1
eliya buyukkaya|maha abdallah|romain cavagna,,tricast: triangulation with multicast support for p2p virtual environments.,2010,,,,391249,conf/icmcs/BuyukkayaAC10,4,0,179,0,179,1
kuang-hao liu|lin cai|xuemin shen,,performance enhancement of medium access control for uwb wpan.,2006,,,,830099,conf/globecom/LiuCS06,1,0,180,0,180,1
chunnian liu|ning zhong|setsuo ohsuga,,a multi-agent based architecture for distributed kdd process.,2000,,,,516419,conf/ismis/LiuZO00,1,0,181,0,181,1
udomchai techavipoo|annette okai|john lackey|jianrong shi|alex dresner|thomas leist|song lai,,human optic nerve dti with epi geometric distortion correction.,2009,,,,492505,conf/isbi/TechavipooOLSDLL09,1,0,131,0,131,1
sebastian schmerl|ulrich flegel|michael meier,,vereinfachung der signaturentwicklung durch wiederverwendung.,2006,,,,688913,conf/sicherheit/SchmerlFM06,1,0,185,0,185,1
emmanuel j. candès|benjamin recht,,exact matrix completion via convex optimization,2008,,,,1916265,journals/corr/abs-0805-4471,1,5,5,5,5,1
albrecht schmidt|wolfgang spiessl|dagmar kern,,driving automotive user interface research.,2010,,,,2359042,journals/pervasive/SchmidtSK10,1,0,5,0,0,1
hannes leeb|stefan wegenkittl,,inversive and linear congruential pseudorandom number generators in empirical tests.,1997,,,,2274588,journals/tomacs/LeebW97,3,99,5,99,5,1
yici cai|bin liu|qiang zhou|xianlong hong,,integrated routing resource assignment for rlc crosstalk minimization.,2005,,,,494698,conf/iscas/CaiLZH05,1,0,196,0,196,1
dieter roller|bernadetta kwintiana ane,,geometric constraint modelling: boundary planar b-spline curves and control polyhedra for 5-axes response surface graph.,2009,,,,1864517,journals/cagd/RollerA09,1,101,5,101,5,1
ali alhazmi|abdulrahman al-sharawi|bing liu 0007|deyvisson oliveira|kanj sobh|max mayantz|robin de bled|yu ming zhang,,software requirements specification of the iufa's uuis -- a team 4 comp5541-w10 project approach,2010,,,,1925392,journals/corr/abs-1005-0162,3,5,5,5,0,1
peter baumgartner|ulrich furbach|adnan h. yahya,,"automated reasoning, knowledge representation and management.",2005,,,,2140649,journals/ki/BaumgartnerFY05,6,105,5,105,0,1
lutz herrmann|alfred ultsch,,clustering with swarm algorithms compared to emergent som.,2009,,,,880631,conf/wsom/HerrmannU09,1,0,5,0,5,1
wenbao jiang|chen li 0005|shuang hao|yiqi dai,,using trust for restricted delegation in grid environments.,2005,,,,524853,conf/ispec/JiangLHD05,1,0,203,0,203,1
aiyun wang|chunying zheng|junyun ma,,a discussion on the status quo of human resources management and innovative mode in university library.,2010,,,,912960,conf/icee/WangZM10,1,0,5,0,5,1
jamie payton|christine julien|gruia-catalin roman|vasanth rajamani,,semantic self-assessment of query results in dynamic environments.,2010,,,,2278993,journals/tosem/PaytonJRR10,3,107,5,107,5,1
xin guo|guoliang wu,,smooth fit principle for impulse control of multidimensional diffusion processes.,2009,,,,2409902,journals/siamco/GuoW09,3,111,5,111,5,1
stina nylander,,where would you bring your laptop?: live blogging in an outdoors mechanical shop.,2008,,,,840243,conf/mum/Nylander08,1,0,207,0,207,1
paul a. booth,,redefining software: a comment on thimbleby's paper.,1990,,,,2073991,journals/iwc/Booth90,3,114,5,114,5,1
jianping fan|xingquan zhu|lide wu,,seeded semantic object generation toward content-based video indexing.,2001,,,,622652,conf/pcm/FanZW01,4,0,210,0,210,1
hans paulussen|willy martin,,dilemma-2: a lemmatizer-tagger for medical abstracts.,1992,,,,48868,conf/anlp/PaulussenM92,1,0,212,0,212,1
kevin j. sullivan|jinlin yang|david coppit|sarfraz khurshid|daniel jackson,,software assurance by bounded exhaustive testing.,2004,,,,529032,conf/issta/SullivanYCKJ04,1,0,213,0,213,1
ulrich hasenkamp|peter stahlknecht,,das fach wirtschaftsinformatik im spiegel seiner zeitschrift.,2009,,,,2296491,journals/wi/HasenkampS09,3,8,5,8,0,1
marius kleiner|bixio rimoldi,,asymptotically optimal joint source-channel coding with minimal delay,2009,,,,1919290,journals/corr/abs-0904-1281,3,5,5,5,5,1
rocío gonzález-díaz|belén medrano|pedro real|javier sánchez-peláez,,algebraic topological analysis of time-sequence of digital images.,2005,,,,90209,conf/casc/Gonzalez-DiazMRS05,1,0,220,0,220,1
yong lee 0002|jooseok song,,an overload control of scp in advanced intelligent network with fairness and priority.,1999,,,,1887541,journals/comcom/LeeS99,3,76,5,76,5,1
guoliang he|yuanxiang li|li yu|wei zhang|hang tu,,design of electronic circuits using a divide-and-conquer approach.,2007,,,,361187,conf/ices/HeLYZT07,1,0,224,0,224,1
giulio iacucci|kari kuutti,,everyday life as a stage in creating and performing scenarios for wireless devices.,2002,,,,2189876,journals/puc/IacucciK02,3,121,5,121,5,1
chao lv|wanchun dou|jinjun chen,,qos-aware service selection using qdg for b2b collaboration.,2008,,,,404073,conf/icpads/LvDC08,1,0,227,0,227,1
drazen brdjanin|slavko maric|dejan gunjic,,adbdesign: an approach to automated initial conceptual database design based on business activity diagrams.,2010,,,,30571,conf/adbis/BrdjaninMG10,1,0,233,0,233,1
stefan conrad,,"schemaintegration integrationskonflikte, lösungsansaätze, aktuelle herausforderungen.",2002,,,,2018253,journals/ife/Conrad02,3,83,5,83,5,1
keith marsolo|srinivasan parthasarathy,,on the use of structure and sequence-based features for protein classification and retrieval.,2008,,,,2139167,journals/kais/MarsoloP08,3,87,5,87,0,1
stefan felsner|kamil kloch|grzegorz matecki|piotr micek,,on-line chain partitioning of up-growing orders: the case of 2-dimensional orders and semi-orders,2007,,,,1909189,journals/corr/abs-0704-1829,3,5,5,5,5,1
katy wolstencroft|pinar alper|duncan hull|chris wroe|phillip w. lord|robert d. stevens|carole a. goble,,the mygrid ontology: bioinformatics service discovery.,2007,,,,2341039,journals/ijbra/WolstencroftAHWLSG07,3,130,5,130,5,1
xuhui liu|nan wang|guozhong sun|jizhong han|lisheng zhang|chengde han,,remote iscsi cache on infiniband: an approach to optimize iscsi system.,2006,,,,407625,conf/icppw/LiuWSHZH06,1,0,136,0,136,1
lin bai|jun wei,,a flexible transformation scheme between the 'or' of bpmn and 'link' of bpel.,2008,,,,890459,conf/apscc/BaiW08,1,0,240,0,240,1
philippe gaussier|ken prepin|jacqueline nadel,,toward a cognitive system algebra: application to facial expression learning and imitation.,2003,,,,161777,conf/dagstuhl/GaussierPN03,1,0,241,0,241,1
genaína nunes rodrigues|graham roberts|wolfgang emmerich,,reliability support for the model driven architecture.,2003,,,,428207,conf/icse/RodriguesRE03,1,0,242,0,242,1
hongmei ni|tülay adali|bo wang 0006|xiao liu,,a general probabilistic formulation for supervised neural classifiers.,2000,,,,2336294,journals/vlsisp/NiAWL00,1,134,243,134,243,1
niranjan suri|marco m. carvalho|jeffrey m. bradshaw|maggie r. breedy|thomas b. cowin|paul t. groth|raul saavedra|andrzej uszok,,enforcement of communications policies in software agent systems through mobile code.,2003,,,,639380,conf/policy/SuriCBBCGSU03,4,0,5,0,5,1
yi zhang 0003|rui wang 0005,,correlating natural language parser performance with statistical measures of the text.,2009,,,,561297,conf/ki/ZhangW09,1,0,244,0,244,1
juan carlos nieves|mauricio osorio|ulises cortés|francisco caballero|antonio lópez-navidad,,reasoning about actions under uncertainty: a possibilistic approach.,2007,,,,97952,conf/ccia/NievesOCCL07,1,0,245,0,245,1
martin hofmann|benjamin c. pierce,,a unifying type-theoretic framework for objects.,1995,,,,2110975,journals/jfp/HofmannP95,3,135,5,135,5,1
hao-peng chen|guang yang|can zhang,,a closed-loop mechanism for service evaluating and discovering on the internet.,2009,,,,909668,conf/ncm/ChenYZ09,1,0,5,0,5,1
mohammad k. akbari|ali jahanian|mohsen naderi|bahman javadi,,"area efficient, low power and robust design for add-compare-select units.",2004,,,,189042,conf/dsd/AkbariJNJ04,1,0,247,0,247,1
franck cassez|olivier h. roux,,structural translation from time petri nets to timed automata.,2005,,,,1972286,journals/entcs/CassezR05,1,126,5,126,0,1
thomas müller|frank grave,,geodesicviewer - a tool for exploring geodesics in the theory of relativity.,2010,,,,2358555,journals/cphysics/MullerG10,3,54,5,54,5,1
amin karbasi|sewoong oh,,distributed sensor network localization from local connectivity: performance analysis for the hop-terrain algorithm.,2010,,,,700916,conf/sigmetrics/KarbasiO10,4,0,249,0,249,1
qingbo yuan|yungang bao|mingyu chen|ninghui sun,,a scalability analysis of the symmetric multiprocessing architecture in multi-core system.,2009,,,,889133,conf/nas/YuanBCS09,3,0,5,0,5,1
abdelraouf ishtaiwi|john thornton|abdul sattar,,weight redistribution for unweighted max-sat.,2007,,,,70398,conf/ausai/IshtaiwiTS07,1,0,250,0,250,1
andreas schäfer,,combining real-time model-checking and fault tree analysis.,2003,,,,244074,conf/fm/Schafer03,1,0,252,0,252,1
stephen cox|michael lincoln|judy tryggvason|melanie nakisa|mark wells|marcus tutt|sanja abbott,,the development and evaluation of a speech-to-sign translation system to assist transactions.,2003,,,,2028138,journals/ijhci/CoxLTNWTA03,1,136,5,136,0,1
xiaoping dai|jianqin zhou|kaihou wang,,an algorithm to find optimal double-loop networks with non-unit steps.,2007,,,,54746,conf/appt/DaiZW07,1,0,254,0,254,1
franco guidi-polanco|claudio cubillos|giuseppe menga,,architecting global automation systems over a distributed multi-agent infrastructure.,2005,,,,234505,conf/ewsa/Guidi-PolancoCM05,4,0,256,0,256,1
karin hodnigg|roland t. mittermeir,,metrics-based spreadsheet visualization: support for focused maintenance,2008,,,,1917232,journals/corr/abs-0809-3009,3,5,5,5,5,1
anusha sriraman|kevin r. b. butler|patrick drew mcdaniel|padma raghavan,,analysis of the ipv4 address space delegation structure.,2007,,,,507635,conf/iscc/SriramanBMR07,1,0,257,0,257,1
adrien coulet|malika smaïl-tabbone|amedeo napoli|marie-dominique devignes,,ontology refinement through role assertion analysis: example in pharmacogenomics.,2008,,,,185781,conf/dlog/CouletSND08,3,0,5,0,0,1
peter wey|bernd fischer|herbert bay|joachim m. buhmann,,dense stereo by triangular meshing and cross validation.,2006,,,,160809,conf/dagm/WeyFBB06,4,0,5,0,5,1
martin hofmann|thomas streicher,,the groupoid model refutes uniqueness of identity proofs,1994,,,,568489,conf/lics/HofmannS94,1,0,260,0,260,1
hoda a. elmaraghy|atef t. massoud,,adaptive dynamic hybrid position and force control of flexible joint robot manipulators.,1993,,,,510057,conf/iser/ElMaraghyM93,1,0,5,0,5,1
giuliano antoniol|vincenzo fabio rollo|gabriele venturi,,detecting groups of co-changing files in cvs repositories.,2005,,,,546797,conf/iwpse/AntoniolRV05,1,0,265,0,265,1
rogelio n. limón cordero|isidro ramos salavert|josé torres-jiménez,,designing aspectual architecture views in aspect-oriented software development.,2006,,,,340826,conf/iccsa/CorderoSJ06,1,0,5,0,5,1
chen tian|xue liu|hongbo jiang|wenyu liu|yi wang,,improving bittorrent traffic performance by exploiting geographic locality.,2008,,,,832367,conf/globecom/TianLJLW08,4,0,180,0,180,1
junmei wang|piotr cieplak|peter a. kollman,,how well does a restrained electrostatic potential (resp) model perform in calculating conformational energies of organic and biological molecules?,2000,,,,2092282,journals/jcc/WangCK00,3,7,5,7,0,1
kun-li wen|chien-wen wang|shih-kuen changchien|cheng-kai yeh,,"apply rough set and gm(h, n) model to analyze the influence factor in gas breakdown.",2007,,,,711662,conf/smc/WenWCY07,1,0,68,0,68,1
keith decker|katia p. sycara|mike williamson,,"modeling information agents: advertisement, organizational roles, and dynamic behavior.",1996,,,,14934,conf/aaai/DeckerSW96,1,0,274,0,274,1
mehdi modarressi|hamid sarbazi-azad|mohammad arjomand,,a hybrid packet-circuit switched on-chip network based on sdm.,2009,,,,169216,conf/date/ModarressiSA09,3,0,119,0,119,1
ruixuan li|meng dong|bin liu|jianfeng lu|xiaopu ma|kai li,,sectag: a multi-policy supported secure web tag framework.,2010,,,,99208,conf/ccs/LiDLLML10,1,0,281,0,281,1
frank hertel|dagmar krefting|ralf lützkendorf|fred viezens|andreas thiel|kathrin peter|johannes bernarding,,diffusions-tensor-imaging als gridanwendung - perfomanzsteigerung und standortunabhängiger zugang zu leistungsfähigen ressourcen.,2009,,,,271847,conf/gi/HertelKLVTPB09,1,0,5,0,5,1
pilsung kang|sungzoon cho,,locally linear reconstruction for instance-based learning.,2008,,,,2184310,journals/pr/KangC08a,1,109,5,109,5,1
bin zeng 0002|jun wei 0004|haiqin liu,,dynamic grid resource scheduling model using learning agent.,2009,,,,889123,conf/nas/00020L09,1,0,282,0,282,1
amaury nève|helmut schettler|thomas ludwig 0004|denis flandre,,power-delay product minimization in high-performance 64-bit carry-select adders.,2004,,,,2290061,journals/tvlsi/NeveS0F04,6,13,5,13,5,1
ki-wook kim|unni narayanan|sung-mo kang,,domino logic synthesis minimizing crosstalk.,2000,,,,156449,conf/dac/KimNK00,4,0,287,0,287,1
benoît libert|damien vergnaud,,adaptive-id secure revocable identity-based encryption.,2009,,,,149994,conf/ctrsa/LibertV09,1,0,288,0,288,1
yanzhi li|yi tao 0002|fan wang,,a compromised large-scale neighborhood search heuristic for capacitated air cargo loading planning.,2009,,,,2330235,journals/eor/LiTW09,3,0,5,0,0,1
kevin hammond|roy dyckhoff|christian ferdinand|reinhold heckmann|martin hofmann|steffen jost|hans-wolfgang loidl|greg michaelson|robert f. pointon|norman scaife|jocelyn sérot|andy wallace,,the embounded project (project start paper).,2005,,,,687387,conf/sfp/HammondDFHHJLMPSSW05,1,0,5,0,5,1
