pauthor,ptitle,pyear,pid,pkey,journal,journalfull,booktitle,booktitlefull,journal_abbreviation,ptype
s. chandra|abha,a note on pseudo-invexity and duality in nonlinear programming.,2000,2332010,journals/eor/ChandraA00a,european journal of operational research,journal of communications,,,,article
cláudia m. f. a. ribeiro|nelson s. rosa|paulo roberto freire cunha,towards a model for personalized communication services based on user perception.,2004,359015,conf/iceis/RibeiroRC04,,,iceis (5),intelligent autonomous systems,,inproceedings
congwu chen|lei li|jun wei,aop based trustable sla compliance monitoring for web services.,2007,652549,conf/qsic/ChenLW07,,,qsic,algorithmic applications in management,,inproceedings
bilge saglam akgul|vincent john mooney iii,system-on-a-chip processor synchronization support in hardware.,2001,166440,conf/date/AkgulM01,,,date,lernen,ijdmb,phdthesis
nobutaka suzuki|minoru ito|jun okui,on the possibility of path expressions containing backward navigations in object-oriented databases.,1999,2200048,journals/scjapan/SuzukiIO99,,,,,,article
hua-qing min|jia-an zeng|jian chen|jin-hui zhu,a study of reinforcement learning in a new multiagent domain.,2008,306609,conf/iat/MinZCZ08,,,,,,article
christian glasser|heinz schmitz|victor l. selivanov,efficient algorithms for membership in boolean hierarchies of regular languages,2008,1915136,journals/corr/abs-0802-2868,corr,international journal of wireless information networks,,,,article
bin zhou|mohammed atiquzzaman,performance of output-multibuffered multistage interconnection networks.,1994,574520,conf/mascots/ZhouA94,,,mascots,dependable systems and networks,theory and practice of object systems,inproceedings
yuanping zhu|jun sun 0004|akihiro minagawa|yoshinobu hotta|satoshi naoi,separate chinese character and english character by cascade classifier and feature selection.,2009,346841,conf/icdar/ZhuSMHN09,,,ieee real time technology and applications symposium,advances in databases and information systems,,inproceedings
andrea suardi|antonio manenti|andrea abba|angelo geraci,high-efficiency fpga fully-based implementation of the conjugate gradient method.,2009,217348,conf/ersa/SuardiMAG09,,,metmbs,workshop on algorithms and data structures,ijmc,inproceedings
danmei chen|sheng li|zoe kourtzi|si wu,behavior-constrained support vector machines for fmri data analysis.,2010,2349218,journals/tnn/ChenLKW10,,,,,ijstm,article
chingwei yeh|lung-tien liu|chung-kuan cheng|t. c. hu|s. ahmed|m. liddel,block-oriented programmable design with switching network interconnect.,1994,2290521,journals/tvlsi/YehLCHAL94,ieee trans. vlsi syst.,journal of convergence information technology,,,ijcini,inproceedings
nicolas villar|albrecht schmidt|gerd kortuem|hans-werner gellersen,interacting with proactive public displays.,2003,1870295,journals/cg/VillarSKG03,computers & graphics,journal of internet technology,vldb,logic in computer science,ijlt,article
feng wang 0004|yuan xie|narayanan vijaykrishnan|mary jane irwin,on-chip bus thermal analysis and optimization.,2006,168313,conf/date/WangXVI06,,,date,lernen,,incollection
riccardo rovatti|sergio callegari|gianluca setti,on the correlation of non-jittered and chaotically-jittered pwm signals carrying maximum information.,2002,502128,conf/iscas/RovattiCS02,,,iscas (3),australasian conference on information security and privacy,,inproceedings
jordan berg|amy r. greenwald|victor naroditskiy|eric sodomka,a knapsack-based approach to bidding in ad auctions.,2010,195687,conf/ecai/BergGNS10,,,iscas (2),international conference on interaction sciences,ijiq,inproceedings
shih-wei chou|yu-chieh chang,the implementation factors that influence the erp (enterprise resource planning) benefits.,2008,1961224,journals/dss/ChouC08,decision support systems,international journal of wireless and mobile computing (ijwmc),,,,article
salwani abdullah|hamza turabieh|barry mccollum|paul mcmullan,a multi-objective post enrolment course timetabling problems: a new case study.,2010,822127,conf/cec/AbdullahTMM10,,,pact,distributed applications and interoperable systems,taco,inproceedings
jeen-shing wang|yu-liang hsu|hung-yi lin|yen-ping chen,minimal model dimension/order determination algorithms for recurrent neural networks.,2009,2189304,journals/prl/WangHLC09,pattern recognition letters,revista iberoamericana de tecnologias del aprendizaje,,,,article
márjory cristiany da costa abreu|michael c. fairhurst,improving identity prediction in signature-based unimodal systems using soft biometrics.,2009,137763,conf/cost/AbreuF09,,,cost 2101/2102 conference,information security and cryptology,,inproceedings
pentti huttunen|jouni ikonen|jari porras,mpit - a programming paradigm for networks of smp workstations.,2002,220689,conf/esm/HuttungenIP02,,,,,,inproceedings
wei li 0004|xiaohu huang|nanning zheng,parallel implementing opengl on pvm.,1997,2176123,journals/pc/LiHZ97,parallel computing,international journal of digital crime and forensics (ijdcf),,,,inproceedings
stefano maranò|vincenzo matta|peter willett|lang tong,support-based and ml approaches to doa estimation in a dumb sensor network.,2006,2350408,journals/tsp/MaranoMWT06,ieee transactions on signal processing,journal of advanced computational intelligence and intelligent informatics (jaciii),,,ijwmc,article
jean-françois pessiot|young-min kim|massih-reza amini|patrick gallinari,improving document clustering in a learned concept space.,2010,2061371,journals/ipm/PessiotKAG10,inf. process. manage.,international journal of knowledge management (ijkm),,,taccess,article
lin gao|xinbing wang|youyun xu,multiradio channel allocation in multihop wireless networks.,2009,2267400,journals/tmc/GaoWX09,ieee trans. mob. comput.,electronic government,,,computer science section,article
martin müller|joachim niehren|andreas podelski,inclusion constraints over non-empty sets of trees.,1997,734862,conf/tapsoft/MullerNP97,,,tapsoft,journal of computing and information technology,,inproceedings
debora gil|petia radeva ivanova,a regularized curvature flow designed for a selective shape restoration.,2004,2251509,journals/tip/GilI04,ieee transactions on image processing,acm transactions on reconfigurable technology and systems,,,ijes,article
r. i. phelfs|l. c. thomas,on optimal performance in self-organizing paging algorithms.,1981,1814536,journals/actaC/PhelfsT81,acta cybern.,international journal of intelligent systems technologies and applications (ijista),,,ijdcf,article
rainer oechsle|ralph weires|sebastian lang,antsim: eine simulationsumgebung zur visualisierung emergenter phänomene am beispiel von ameisenkolonien auf futtersuche.,2004,707459,conf/simvis/OechsleWL04,,,simvis,alberto mendelzon workshop on foundations of data management,taas,inproceedings
xiaoli wang|daqing gu|tao shu,adaptive application-specific cooperative relay for wireless video sensor networks.,2007,850276,conf/fgcn/WangGS07,,,fgcn (2),volume visualization and graphics,ijkm,inproceedings
eliya buyukkaya|maha abdallah|romain cavagna,tricast: triangulation with multicast support for p2p virtual environments.,2010,391249,conf/icmcs/BuyukkayaAC10,,,icme,international conference on tools with artificial intelligence,,phdthesis
kuang-hao liu|lin cai|xuemin shen,performance enhancement of medium access control for uwb wpan.,2006,830099,conf/globecom/LiuCS06,,,globecom,conference on current trends in theory and practice of informatics,ijipt,inproceedings
chunnian liu|ning zhong|setsuo ohsuga,a multi-agent based architecture for distributed kdd process.,2000,516419,conf/ismis/LiuZO00,,,ismis,topic maps research and applications,,inproceedings
udomchai techavipoo|annette okai|john lackey|jianrong shi|alex dresner|thomas leist|song lai,human optic nerve dti with epi geometric distortion correction.,2009,492505,conf/isbi/TechavipooOLSDLL09,,,isbi,international conference on computer design,,inproceedings
sebastian schmerl|ulrich flegel|michael meier,vereinfachung der signaturentwicklung durch wiederverwendung.,2006,688913,conf/sicherheit/SchmerlFM06,,,sicherheit,international conference on automated planning and scheduling,ijrfita,inproceedings
emmanuel j. candès|benjamin recht,exact matrix completion via convex optimization,2008,1916265,journals/corr/abs-0805-4471,corr,international journal of wireless information networks,,,ijista,inproceedings
albrecht schmidt|wolfgang spiessl|dagmar kern,driving automotive user interface research.,2010,2359042,journals/pervasive/SchmidtSK10,,,,,ijnvo,inproceedings
yici cai|bin liu|qiang zhou|xianlong hong,integrated routing resource assignment for rlc crosstalk minimization.,2005,494698,conf/iscas/CaiLZH05,,,sigmod conference,architektur von rechensystemen,ijaose,inproceedings
ali alhazmi|abdulrahman al-sharawi|bing liu 0007|deyvisson oliveira|kanj sobh|max mayantz|robin de bled|yu ming zhang,software requirements specification of the iufa's uuis -- a team 4 comp5541-w10 project approach,2010,1925392,journals/corr/abs-1005-0162,corr,international journal of wireless information networks,,,rita,article
lutz herrmann|alfred ultsch,clustering with swarm algorithms compared to emergent som.,2009,880631,conf/wsom/HerrmannU09,,,,,tosn,inproceedings
wenbao jiang|chen li 0005|shuang hao|yiqi dai,using trust for restricted delegation in grid environments.,2005,524853,conf/ispec/JiangLHD05,,,ispec,ieee international conference on bioinformatics and bioengineering,,inproceedings
aiyun wang|chunying zheng|junyun ma,a discussion on the status quo of human resources management and innovative mode in university library.,2010,912960,conf/icee/WangZM10,,,,,,inproceedings
stina nylander,where would you bring your laptop?: live blogging in an outdoors mechanical shop.,2008,840243,conf/mum/Nylander08,,,mum,software engineering,,inproceedings
jianping fan|xingquan zhu|lide wu,seeded semantic object generation toward content-based video indexing.,2001,622652,conf/pcm/FanZW01,,,ieee pacific rim conference on multimedia,international joint conference on artificial intelligence,,phdthesis
hans paulussen|willy martin,dilemma-2: a lemmatizer-tagger for medical abstracts.,1992,48868,conf/anlp/PaulussenM92,,,anlp,international conference on program comprehension,,inproceedings
kevin j. sullivan|jinlin yang|david coppit|sarfraz khurshid|daniel jackson,software assurance by bounded exhaustive testing.,2004,529032,conf/issta/SullivanYCKJ04,,,issta,software product lines,,inproceedings
ulrich hasenkamp|peter stahlknecht,das fach wirtschaftsinformatik im spiegel seiner zeitschrift.,2009,2296491,journals/wi/HasenkampS09,wirtschaftsinformatik,international journal of bioinformatics research and applications (ijbra),,,,article
marius kleiner|bixio rimoldi,asymptotically optimal joint source-channel coding with minimal delay,2009,1919290,journals/corr/abs-0904-1281,corr,international journal of wireless information networks,,,,article
rocío gonzález-díaz|belén medrano|pedro real|javier sánchez-peláez,algebraic topological analysis of time-sequence of digital images.,2005,90209,conf/casc/Gonzalez-DiazMRS05,,,casc,compilers,,inproceedings
yong lee 0002|jooseok song,an overload control of scp in advanced intelligent network with fairness and priority.,1999,1887541,journals/comcom/LeeS99,computer communications,international journal of embedded systems (ijes),,,,article
guoliang he|yuanxiang li|li yu|wei zhang|hang tu,design of electronic circuits using a divide-and-conquer approach.,2007,361187,conf/ices/HeLYZT07,,,ices,information reuse and integration,,inproceedings
chao lv|wanchun dou|jinjun chen,qos-aware service selection using qdg for b2b collaboration.,2008,404073,conf/icpads/LvDC08,,,icpads,pacific asia conference on knowledge discovery and data mining,,inproceedings
drazen brdjanin|slavko maric|dejan gunjic,adbdesign: an approach to automated initial conceptual database design based on business activity diagrams.,2010,30571,conf/adbis/BrdjaninMG10,,,adbis,computer graphics,,inproceedings
stefan conrad,"schemaintegration integrationskonflikte, lösungsansaätze, aktuelle herausforderungen.",2002,2018253,journals/ife/Conrad02,"inform., forsch. entwickl.",international journal of web engineering and technology,,,,article
keith marsolo|srinivasan parthasarathy,on the use of structure and sequence-based features for protein classification and retrieval.,2008,2139167,journals/kais/MarsoloP08,knowl. inf. syst.,international journal of agent oriented software engineering (ijaose),,,,article
stefan felsner|kamil kloch|grzegorz matecki|piotr micek,on-line chain partitioning of up-growing orders: the case of 2-dimensional orders and semi-orders,2007,1909189,journals/corr/abs-0704-1829,corr,international journal of wireless information networks,,,,article
xuhui liu|nan wang|guozhong sun|jizhong han|lisheng zhang|chengde han,remote iscsi cache on infiniband: an approach to optimize iscsi system.,2006,407625,conf/icppw/LiuWSHZH06,,,icpp workshops,international computer software and applications conference,,inproceedings
lin bai|jun wei,a flexible transformation scheme between the 'or' of bpmn and 'link' of bpel.,2008,890459,conf/apscc/BaiW08,,,apscc,international teletraffic congress,,inproceedings
philippe gaussier|ken prepin|jacqueline nadel,toward a cognitive system algebra: application to facial expression learning and imitation.,2003,161777,conf/dagstuhl/GaussierPN03,,,embodied artificial intelligence,international conference on database theory,,inproceedings
genaína nunes rodrigues|graham roberts|wolfgang emmerich,reliability support for the model driven architecture.,2003,428207,conf/icse/RodriguesRE03,,,wads,case based reasoning and development,,inproceedings
niranjan suri|marco m. carvalho|jeffrey m. bradshaw|maggie r. breedy|thomas b. cowin|paul t. groth|raul saavedra|andrzej uszok,enforcement of communications policies in software agent systems through mobile code.,2003,639380,conf/policy/SuriCBBCGSU03,,,,,,phdthesis
yi zhang 0003|rui wang 0005,correlating natural language parser performance with statistical measures of the text.,2009,561297,conf/ki/ZhangW09,,,ki,international symposium on physical design,,inproceedings
juan carlos nieves|mauricio osorio|ulises cortés|francisco caballero|antonio lópez-navidad,reasoning about actions under uncertainty: a possibilistic approach.,2007,97952,conf/ccia/NievesOCCL07,,,ccia,mathematical foundations of computer science,,inproceedings
hao-peng chen|guang yang|can zhang,a closed-loop mechanism for service evaluating and discovering on the internet.,2009,909668,conf/ncm/ChenYZ09,,,,,,inproceedings
mohammad k. akbari|ali jahanian|mohsen naderi|bahman javadi,"area efficient, low power and robust design for add-compare-select units.",2004,189042,conf/dsd/AkbariJNJ04,,,acsw frontiers,international performance,,inproceedings
thomas müller|frank grave,geodesicviewer - a tool for exploring geodesics in the theory of relativity.,2010,2358555,journals/cphysics/MullerG10,computer physics communications,acm journal on emerging technologies in computing systems,,,,article
amin karbasi|sewoong oh,distributed sensor network localization from local connectivity: performance analysis for the hop-terrain algorithm.,2010,700916,conf/sigmetrics/KarbasiO10,,,sigmetrics,sigmetrics performance evaluation review,,phdthesis
qingbo yuan|yungang bao|mingyu chen|ninghui sun,a scalability analysis of the symmetric multiprocessing architecture in multi-core system.,2009,889133,conf/nas/YuanBCS09,,,,,,article
abdelraouf ishtaiwi|john thornton|abdul sattar,weight redistribution for unweighted max-sat.,2007,70398,conf/ausai/IshtaiwiTS07,,,australian conference on artificial intelligence,international conference on machine learning,,inproceedings
andreas schäfer,combining real-time model-checking and fault tree analysis.,2003,244074,conf/fm/Schafer03,,,fme,grid economics and business models,,inproceedings
xiaoping dai|jianqin zhou|kaihou wang,an algorithm to find optimal double-loop networks with non-unit steps.,2007,54746,conf/appt/DaiZW07,,,appt,adaptive hardware and systems,,inproceedings
franco guidi-polanco|claudio cubillos|giuseppe menga,architecting global automation systems over a distributed multi-agent infrastructure.,2005,234505,conf/ewsa/Guidi-PolancoCM05,,,ewsa,workshop on internet and network economics,,phdthesis
karin hodnigg|roland t. mittermeir,metrics-based spreadsheet visualization: support for focused maintenance,2008,1917232,journals/corr/abs-0809-3009,corr,international journal of wireless information networks,,,,article
anusha sriraman|kevin r. b. butler|patrick drew mcdaniel|padma raghavan,analysis of the ipv4 address space delegation structure.,2007,507635,conf/iscc/SriramanBMR07,,,iscc,conference on innovative data systems research,,inproceedings
adrien coulet|malika smaïl-tabbone|amedeo napoli|marie-dominique devignes,ontology refinement through role assertion analysis: example in pharmacogenomics.,2008,185781,conf/dlog/CouletSND08,,,,,,article
peter wey|bernd fischer|herbert bay|joachim m. buhmann,dense stereo by triangular meshing and cross validation.,2006,160809,conf/dagm/WeyFBB06,,,,,,phdthesis
martin hofmann|thomas streicher,the groupoid model refutes uniqueness of identity proofs,1994,568489,conf/lics/HofmannS94,,,pepm,international conference on computer design,,inproceedings
hoda a. elmaraghy|atef t. massoud,adaptive dynamic hybrid position and force control of flexible joint robot manipulators.,1993,510057,conf/iser/ElMaraghyM93,,,,,,inproceedings
giuliano antoniol|vincenzo fabio rollo|gabriele venturi,detecting groups of co-changing files in cvs repositories.,2005,546797,conf/iwpse/AntoniolRV05,,,iwpse,cross language evaluation forum,,inproceedings
rogelio n. limón cordero|isidro ramos salavert|josé torres-jiménez,designing aspectual architecture views in aspect-oriented software development.,2006,340826,conf/iccsa/CorderoSJ06,,,,,,inproceedings
chen tian|xue liu|hongbo jiang|wenyu liu|yi wang,improving bittorrent traffic performance by exploiting geographic locality.,2008,832367,conf/globecom/TianLJLW08,,,globecom,conference on current trends in theory and practice of informatics,,phdthesis
junmei wang|piotr cieplak|peter a. kollman,how well does a restrained electrostatic potential (resp) model perform in calculating conformational energies of organic and biological molecules?,2000,2092282,journals/jcc/WangCK00,journal of computational chemistry,kunstliche intelligenz,,,,article
kun-li wen|chien-wen wang|shih-kuen changchien|cheng-kai yeh,"apply rough set and gm(h, n) model to analyze the influence factor in gas breakdown.",2007,711662,conf/smc/WenWCY07,,,smc,engineering of reconfigurable systems and algorithms,,inproceedings
keith decker|katia p. sycara|mike williamson,"modeling information agents: advertisement, organizational roles, and dynamic behavior.",1996,14934,conf/aaai/DeckerSW96,,,aamas,international conference on multimedia and expo,,inproceedings
mehdi modarressi|hamid sarbazi-azad|mohammad arjomand,a hybrid packet-circuit switched on-chip network based on sdm.,2009,169216,conf/date/ModarressiSA09,,,date,autonomous agents and multi agent systems,,article
ruixuan li|meng dong|bin liu|jianfeng lu|xiaopu ma|kai li,sectag: a multi-policy supported secure web tag framework.,2010,99208,conf/ccs/LiDLLML10,,,acm conference on computer and communications security,international conference on distributed systems platforms and open distributed processing,,inproceedings
frank hertel|dagmar krefting|ralf lützkendorf|fred viezens|andreas thiel|kathrin peter|johannes bernarding,diffusions-tensor-imaging als gridanwendung - perfomanzsteigerung und standortunabhängiger zugang zu leistungsfähigen ressourcen.,2009,271847,conf/gi/HertelKLVTPB09,,,,,,inproceedings
bin zeng 0002|jun wei 0004|haiqin liu,dynamic grid resource scheduling model using learning agent.,2009,889123,conf/nas/00020L09,,,nas,international conference on artificial intelligence and law,,inproceedings
amaury nève|helmut schettler|thomas ludwig 0004|denis flandre,power-delay product minimization in high-performance 64-bit carry-select adders.,2004,2290061,journals/tvlsi/NeveS0F04,ieee trans. vlsi syst.,journal of convergence information technology,,,,incollection
ki-wook kim|unni narayanan|sung-mo kang,domino logic synthesis minimizing crosstalk.,2000,156449,conf/dac/KimNK00,,,dac,international conference on logic programming,,phdthesis
benoît libert|damien vergnaud,adaptive-id secure revocable identity-based encryption.,2009,149994,conf/ctrsa/LibertV09,,,ct rsa,text retrieval conference,,inproceedings
yanzhi li|yi tao 0002|fan wang,a compromised large-scale neighborhood search heuristic for capacitated air cargo loading planning.,2009,2330235,journals/eor/LiTW09,,,,,,article
